,shutter,flip_mirror,calib_unit,temp_bench_air,temp_bench_board,temp_water_in,temp_water_out,laser,tungsten,adc1,adc2,nvme_pci-Composite,nvme_pci-Sensor_1,nvme_pci-Sensor_2,acpitz_acpi-temp1,coretemp_isa-Package_id_0,coretemp_isa-Core_0,coretemp_isa-Core_1,coretemp_isa-Core_2,coretemp_isa-Core_3,coretemp_isa-Core_4,coretemp_isa-Core_5,coretemp_isa-Core_6,coretemp_isa-Core_7,fli_status,time_utc,fli_temp_CCD
0,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,37.85,37.85,42.85,27.8,25.0,24.0,25.0,24.0,23.0,23.0,23.0,23.0,24.0,DOWN,2021-10-09 15:00:01.186,
1,CLOSE,DOWN,0.0,19.0,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,36.85,36.85,40.85,27.8,25.0,23.0,25.0,24.0,22.0,23.0,24.0,23.0,24.0,DOWN,2021-10-09 15:01:01.858,
2,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,35.85,35.85,40.85,27.8,25.0,24.0,25.0,24.0,23.0,25.0,24.0,24.0,24.0,DOWN,2021-10-09 15:02:02.343,
3,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,34.85,34.85,39.85,27.8,25.0,25.0,25.0,25.0,23.0,24.0,23.0,24.0,24.0,DOWN,2021-10-09 15:03:02.777,
4,CLOSE,DOWN,0.0,19.2,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,34.85,34.85,39.85,27.8,25.0,24.0,25.0,25.0,23.0,24.0,23.0,24.0,24.0,DOWN,2021-10-09 15:04:03.332,
5,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,34.85,34.85,38.85,27.8,39.0,39.0,27.0,25.0,25.0,24.0,25.0,26.0,24.0,DOWN,2021-10-09 15:05:03.813,
6,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,34.85,34.85,38.85,27.8,24.0,24.0,24.0,24.0,22.0,23.0,23.0,23.0,24.0,DOWN,2021-10-09 15:06:04.367,
7,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,34.85,34.85,38.85,27.8,25.0,24.0,25.0,25.0,22.0,24.0,23.0,23.0,23.0,DOWN,2021-10-09 15:07:04.883,
8,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,33.85,33.85,38.85,27.8,24.0,24.0,24.0,24.0,22.0,24.0,23.0,23.0,23.0,DOWN,2021-10-09 15:08:05.520,
9,CLOSE,DOWN,0.0,19.1,19.1,20.3,22.5,OFF,ERROR,0.0,0.0,33.85,33.85,38.85,27.8,24.0,24.0,24.0,24.0,23.0,24.0,23.0,23.0,24.0,DOWN,2021-10-09 15:09:06.109,
