Wavelength[nm],T% at AOI 0 deg
1100,99.58488464
1099.5,99.58366394
1099,99.63413239
1098.5,99.60509491
1098,99.62911224
1097.5,99.67086792
1097,99.67764282
1096.5,99.70612335
1096,99.68308258
1095.5,99.66915894
1095,99.72146606
1094.5,99.68930817
1094,99.71509552
1093.5,99.71833038
1093,99.74934387
1092.5,99.72648621
1092,99.75164795
1091.5,99.79405212
1091,99.70844269
1090.5,99.75497437
1090,99.74732971
1089.5,99.75476074
1089,99.74756622
1088.5,99.75492096
1088,99.73075867
1087.5,99.7360611
1087,99.75191498
1086.5,99.73860931
1086,99.71237183
1085.5,99.71829224
1085,99.69516754
1084.5,99.72044373
1084,99.72602844
1083.5,99.69158173
1083,99.64845276
1082.5,99.65593719
1082,99.65312195
1081.5,99.65015411
1081,99.63340759
1080.5,99.62447357
1080,99.60597992
1079.5,99.58303833
1079,99.59699249
1078.5,99.59318542
1078,99.59468842
1077.5,99.55242157
1077,99.54055786
1076.5,99.50023651
1076,99.50004578
1075.5,99.51472473
1075,99.52276611
1074.5,99.5045929
1074,99.46063232
1073.5,99.46203613
1073,99.47187042
1072.5,99.46189117
1072,99.44474792
1071.5,99.41587067
1071,99.439888
1070.5,99.4200058
1070,99.41912842
1069.5,99.42626953
1069,99.44469452
1068.5,99.40231323
1068,99.3839798
1067.5,99.40476227
1067,99.43681335
1066.5,99.4285965
1066,99.38996887
1065.5,99.39849854
1065,99.39701843
1064.5,99.41581726
1064,99.44522858
1063.5,99.42637634
1063,99.43126678
1062.5,99.43667603
1062,99.43875885
1061.5,99.46691132
1061,99.4362793
1060.5,99.45336914
1060,99.4766922
1059.5,99.47006989
1059,99.50006866
1058.5,99.49062347
1058,99.48525238
1057.5,99.51822662
1057,99.54096222
1056.5,99.5318985
1056,99.53852081
1055.5,99.56790161
1055,99.56085968
1054.5,99.57167816
1054,99.58174896
1053.5,99.59689331
1053,99.62950897
1052.5,99.61923218
1052,99.62703705
1051.5,99.6342392
1051,99.62857056
1050.5,99.67171478
1050,99.68077087
1049.5,99.67420959
1049,99.68737793
1048.5,99.71707153
1048,99.69047546
1047.5,99.6894455
1047,99.71138
1046.5,99.72032166
1046,99.74514008
1045.5,99.72511292
1045,99.73303986
1044.5,99.73806
1044,99.76399231
1043.5,99.76184082
1043,99.75036621
1042.5,99.77584076
1042,99.78499603
1041.5,99.78845978
1041,99.77852631
1040.5,99.81130981
1040,99.77088928
1039.5,99.75292206
1039,99.8041687
1038.5,99.81452179
1038,99.76402283
1037.5,99.79579163
1037,99.8082428
1036.5,99.82327271
1036,99.79957581
1035.5,99.79895782
1035,99.77325439
1034.5,99.75247955
1034,99.79582977
1033.5,99.83058167
1033,99.77548981
1032.5,99.76930237
1032,99.78369141
1031.5,99.7984848
1031,99.82093811
1030.5,99.80413055
1030,99.7804184
1029.5,99.76815796
1029,99.76815796
1028.5,99.81591034
1028,99.78394318
1027.5,99.79670715
1027,99.79089355
1026.5,99.73757172
1026,99.69966888
1025.5,99.78925323
1025,99.79974365
1024.5,99.78243256
1024,99.70624542
1023.5,99.78546143
1023,99.76409912
1022.5,99.71762848
1022,99.75282288
1021.5,99.76520538
1021,99.76705933
1020.5,99.76291656
1020,99.78251648
1019.5,99.73856354
1019,99.81116486
1018.5,99.7767334
1018,99.74927521
1017.5,99.74575806
1017,99.77500916
1016.5,99.78528595
1016,99.79457092
1015.5,99.76652527
1015,99.73140717
1014.5,99.72240448
1014,99.78516388
1013.5,99.7590332
1013,99.78012085
1012.5,99.79025269
1012,99.8455658
1011.5,99.80276489
1011,99.72581482
1010.5,99.79317474
1010,99.80258179
1009.5,99.76042175
1009,99.79750061
1008.5,99.84171295
1008,99.81639099
1007.5,99.74352264
1007,99.79255676
1006.5,99.85131836
1006,99.83576202
1005.5,99.78801727
1005,99.80125427
1004.5,99.82168579
1004,99.85858917
1003.5,99.78596497
1003,99.80934906
1002.5,99.82283783
1002,99.86357117
1001.5,99.8366394
1001,99.82459259
1000.5,99.80322266
1000,99.82675171
999.5,99.84314728
999,99.84352112
998.5,99.8575592
998,99.84153748
997.5,99.77928162
997,99.80218506
996.5,99.80220032
996,99.83876038
995.5,99.80480194
995,99.81626892
994.5,99.85494995
994,99.82826996
993.5,99.78813171
993,99.78581238
992.5,99.82524109
992,99.81408691
991.5,99.82865143
991,99.78318024
990.5,99.804245
990,99.81549072
989.5,99.78561401
989,99.82448578
988.5,99.78488159
988,99.79058838
987.5,99.80525208
987,99.80361938
986.5,99.78380585
986,99.82736969
985.5,99.82070923
985,99.77508545
984.5,99.75832367
984,99.7830658
983.5,99.77590942
983,99.78873444
982.5,99.78244019
982,99.77857971
981.5,99.75039673
981,99.82450104
980.5,99.78855133
980,99.79036713
979.5,99.76938629
979,99.78194427
978.5,99.82634735
978,99.78767395
977.5,99.83102417
977,99.78424835
976.5,99.80957794
976,99.8438797
975.5,99.78411102
975,99.76803589
974.5,99.79888153
974,99.83069611
973.5,99.82818604
973,99.8228302
972.5,99.80783844
972,99.8416214
971.5,99.82491302
971,99.82002258
970.5,99.85938263
970,99.85745239
969.5,99.86573792
969,99.87246704
968.5,99.84085846
968,99.84380341
967.5,99.85144043
967,99.89450836
966.5,99.79882813
966,99.83908844
965.5,99.85782623
965,99.83434296
964.5,99.85461426
964,99.86415863
963.5,99.860672
963,99.83584595
962.5,99.85408783
962,99.80902863
961.5,99.83948517
961,99.82172394
960.5,99.84306335
960,99.8493576
959.5,99.81949615
959,99.83402252
958.5,99.76721191
958,99.74447632
957.5,99.75998688
957,99.78304291
956.5,99.74761963
956,99.77217865
955.5,99.80155182
955,99.77007294
954.5,99.78699493
954,99.71472931
953.5,99.69231415
953,99.6907959
952.5,99.69854736
952,99.70269775
951.5,99.69576263
951,99.66587067
950.5,99.64196014
950,99.6010437
949.5,99.70053101
949,99.61223602
948.5,99.60729218
948,99.61647034
947.5,99.60748291
947,99.57546234
946.5,99.60205078
946,99.58584595
945.5,99.5728302
945,99.59953308
944.5,99.5949707
944,99.56023407
943.5,99.56962585
943,99.54850006
942.5,99.61048126
942,99.55203247
941.5,99.57833099
941,99.6102066
940.5,99.62518311
940,99.6570282
939.5,99.59064484
939,99.54291534
938.5,99.58704376
938,99.67012787
937.5,99.65867615
937,99.67719269
936.5,99.67407227
936,99.65686035
935.5,99.72309113
935,99.70802307
934.5,99.78115845
934,99.70304108
933.5,99.71533966
933,99.69857025
932.5,99.70999908
932,99.70075226
931.5,99.72731781
931,99.71156311
930.5,99.68743896
930,99.6971283
929.5,99.71955109
929,99.71211243
928.5,99.68851471
928,99.68338776
927.5,99.65006256
927,99.65874481
926.5,99.68475342
926,99.68995667
925.5,99.66235352
925,99.66796112
924.5,99.64483643
924,99.67657471
923.5,99.60048676
923,99.5849762
922.5,99.6074295
922,99.58321381
921.5,99.55170441
921,99.52467346
920.5,99.53231049
920,99.52832031
919.5,99.52767181
919,99.52334595
918.5,99.49876404
918,99.49390411
917.5,99.45671844
917,99.45053101
916.5,99.42182159
916,99.44364929
915.5,99.43069458
915,99.4150238
914.5,99.44789124
914,99.46701813
913.5,99.4025116
913,99.35677338
912.5,99.40589905
912,99.42018127
911.5,99.39672089
911,99.40052032
910.5,99.3946228
910,99.4302597
909.5,99.41616058
909,99.44213867
908.5,99.47579193
908,99.4755249
907.5,99.46443176
907,99.45120239
906.5,99.44104767
906,99.44478607
905.5,99.45637512
905,99.47129822
904.5,99.51786041
904,99.50198364
903.5,99.52096558
903,99.52676392
902.5,99.5282135
902,99.5226059
901.5,99.53952789
901,99.56635284
900.5,99.55789185
900,99.55096436
899.5,99.43051147
899,99.97618866
898.5,99.45323181
898,99.81115723
897.5,99.93195343
897,99.78620148
896.5,99.8028183
896,99.62111664
895.5,100.076416
895,99.515625
894.5,99.39658356
894,99.23996735
893.5,99.67306519
893,99.40162659
892.5,99.43330383
892,99.91636658
891.5,99.2388916
891,99.26816559
890.5,99.33017731
890,99.51241302
889.5,99.53099823
889,99.93338013
888.5,99.58946228
888,99.40239716
887.5,99.74024963
887,99.80685425
886.5,99.8615036
886,99.4246521
885.5,99.73442841
885,99.581604
884.5,99.78330994
884,99.68366241
883.5,99.71740723
883,99.87237549
882.5,99.79535675
882,99.49500275
881.5,99.67183685
881,99.73099518
880.5,99.51806641
880,99.22572327
879.5,99.64264679
879,99.74053192
878.5,99.53588867
878,99.72293854
877.5,99.89125824
877,99.85843658
876.5,99.70219421
876,99.69778442
875.5,99.8416748
875,99.57831573
874.5,99.4574585
874,99.62708282
873.5,99.50585938
873,99.60179901
872.5,99.72077942
872,99.46376038
871.5,99.48828125
871,99.67598724
870.5,99.65281677
870,99.52955627
869.5,99.52500153
869,99.59344482
868.5,99.67960358
868,99.74529266
867.5,99.63694763
867,99.68589783
866.5,99.52901459
866,99.56192017
865.5,99.54855347
865,99.64334106
864.5,99.52603912
864,99.54430389
863.5,99.73704529
863,99.65568542
862.5,99.61711121
862,99.67638397
861.5,99.66553497
861,99.69995117
860.5,99.68251801
860,99.72064972
859.5,99.73990631
859,99.66918182
858.5,99.76019287
858,99.6219635
857.5,99.67652893
857,99.65028381
856.5,99.61627197
856,99.5072403
855.5,99.46957397
855,99.55331421
854.5,99.367836
854,99.27735138
853.5,99.37545013
853,99.31539154
852.5,99.21092987
852,99.19794464
851.5,99.10154724
851,99.0102005
850.5,98.93470764
850,98.89930725
849.5,98.93614197
849,98.84741974
848.5,98.8241272
848,98.8130188
847.5,98.72748566
847,98.78429413
846.5,98.69174194
846,98.66773224
845.5,98.73925781
845,98.75897217
844.5,98.76955414
844,98.7013092
843.5,98.83583832
843,98.84629059
842.5,98.83474731
842,98.89420319
841.5,98.86148834
841,98.94303894
840.5,98.90405273
840,98.9302063
839.5,99.00961304
839,98.93656921
838.5,98.90866852
838,98.81310272
837.5,98.78876495
837,98.76914978
836.5,98.82281494
836,98.64460754
835.5,98.62915802
835,98.54725647
834.5,98.56331635
834,98.53496552
833.5,98.40378571
833,98.30055237
832.5,98.28316498
832,98.19770813
831.5,98.04962158
831,97.94271851
830.5,97.67523193
830,97.36499023
829.5,96.89212036
829,96.13184357
828.5,95.22120667
828,93.86009979
827.5,92.00468445
827,89.65436554
826.5,86.76966095
826,83.33855438
825.5,79.24473572
825,74.54454041
824.5,69.4092865
824,63.90294266
823.5,58.08475113
823,52.30820084
822.5,46.64470673
822,41.0994072
821.5,36.01241302
821,31.33670425
820.5,26.99905396
820,23.28434181
819.5,20.0099678
819,17.08155441
818.5,14.62561798
818,12.50603485
817.5,10.68031216
817,9.148960114
816.5,7.828923225
816,6.719520569
815.5,5.772239685
815,4.965071201
814.5,4.294397831
814,3.711993933
813.5,3.214616776
813,2.797439337
812.5,2.434546947
812,2.127862692
811.5,1.86745429
811,1.634144187
810.5,1.438846707
810,1.268402815
809.5,1.115728259
809,0.9925826192
808.5,0.8810616136
808,0.7801813483
807.5,0.695538342
807,0.6187670827
806.5,0.5552953482
806,0.4935557544
805.5,0.4424916208
805,0.3976736665
804.5,0.3555772007
804,0.3202600479
803.5,0.2881366014
803,0.2597803175
802.5,0.235705778
802,0.211668849
801.5,0.1914975196
801,0.1717572212
800.5,0.1560635418
800,0.1418055147
799.5,0.1283725351
799,0.1153297573
798.5,0.1047384664
798,0.09499254823
797.5,0.08600696176
797,0.07826256007
796.5,0.07078285515
796,0.06443971395
795.5,0.05862550437
795,0.05236699432
794.5,0.047365807
794,0.04362647608
793.5,0.03859871626
793,0.03614092991
792.5,0.03233776242
792,0.02879300527
791.5,0.0260239318
791,0.02383134328
790.5,0.02155728638
790,0.01966509968
789.5,0.01778295822
789,0.0162446592
788.5,0.01483901311
788,0.01319394074
787.5,0.01239871234
787,0.01093013957
786.5,0.009810504504
786,0.00916299317
785.5,0.008097006008
785,0.008013613522
784.5,0.006669351365
784,0.006088496186
783.5,0.005571243819
783,0.004900209606
782.5,0.004618080333
782,0.004221708514
781.5,0.003845401108
781,0.00396083761
780.5,0.003364408622
780,0.002993708476
779.5,0.002737703035
779,0.002410004847
778.5,0.002121743048
778,0.001991738332
777.5,0.002022966277
777,0.00177354319
776.5,0.001615804969
776,0.001286966959
775.5,0.001507002744
775,0.001381236827
774.5,0.001208952162
774,0.001301044831
773.5,0.00100261264
773,0.001059326227
772.5,0.0005446716677
772,0.0006506858626
771.5,0.0006955547724
771,0.0008569232887
770.5,0.001195405493
770,0.0009244426037
769.5,0.0007699553971
769,0.0005824685795
768.5,3.32E-05
768,0.0003518997401
767.5,0.0002114150702
767,0.0003805549059
766.5,0.0005744906375
766,0.0004246388853
765.5,0.0003927640209
765,0.0001003177895
764.5,0.0004834432621
764,0.0001612746419
763.5,0.0007264360902
763,0.0001241933642
762.5,0.0002353173913
762,-3.09E-05
761.5,2.91E-05
761,0.0001931124134
760.5,0.0003291200555
760,0.0003329791653
759.5,0.0002790148428
759,0.0002824408584
758.5,6.19E-05
758,0.0003225959081
757.5,0.0003835893003
757,0.0004068396229
756.5,3.68E-05
756,5.13E-05
755.5,-0.0001269066561
755,0.0003144217189
754.5,0.0004830607795
754,0.0002438318625
753.5,0.0004591126635
753,0.0002775772009
752.5,0.0001555543568
752,-0.0002362088271
751.5,5.41E-05
751,0.0001462884538
750.5,0.0002182518365
750,-0.0001021827557
749.5,-5.88E-06
749,-4.13E-05
748.5,-0.0001164095374
748,-0.0001173576748
747.5,0.0002679795143
747,-4.11E-06
746.5,0.0001380483009
746,9.57E-05
745.5,0.0002012501063
745,-0.0001676798711
744.5,0.0001409163378
744,0.0002031819313
743.5,0.0001728189382
743,8.96E-05
742.5,-0.0001341950701
742,0.0001016363312
741.5,-9.88E-05
741,0.0001237555407
740.5,0.0003530544636
740,0.0002716777381
739.5,-0.0001023770674
739,-8.14E-05
738.5,0.0001633787906
738,0.0002135785471
737.5,2.61E-06
737,0.0001428904943
736.5,-0.0003205378016
736,0.0002008504962
735.5,-4.13E-05
735,0.0002786971745
734.5,0.0001793864212
734,-0.0001533435425
733.5,-0.0001066318218
733,-1.46E-05
732.5,0.0001264588209
732,0.0001463699591
731.5,4.19E-05
731,-1.64E-05
730.5,-9.34E-06
730,6.77E-05
729.5,0.0001384102216
729,4.40E-05
728.5,2.97E-05
728,0.0002280885383
727.5,0.0001414117141
727,-0.0002777706541
726.5,0.0001159832464
726,0.0001055468383
725.5,-4.14E-05
725,-2.58E-05
724.5,-2.19E-05
724,-5.15E-05
723.5,0.0001989098819
723,0.0001166142611
722.5,0.0001262744336
722,-0.0002604011679
721.5,5.28E-05
721,6.20E-05
720.5,4.44E-05
720,0.0005578620476
719.5,-0.0001047646074
719,1.80E-05
718.5,-0.0002407368593
718,5.91E-05
717.5,0.0002096734097
717,-5.27E-05
716.5,0.0001077044799
716,-6.82E-05
715.5,7.79E-05
715,0.0002768226259
714.5,-3.77E-05
714,-5.85E-05
713.5,-0.0001576368086
713,0.0002192859247
712.5,0.0001077838679
712,-0.0001121347086
711.5,0.0002799438662
711,-0.0002124095045
710.5,9.15E-05
710,0.0002357347548
709.5,-5.07E-05
709,-0.0002025793219
708.5,-0.0002178963477
708,-6.49E-05
707.5,3.84E-05
707,-0.0001346322097
706.5,-6.11E-05
706,-0.0001516821212
705.5,0.00045751367
705,-3.36E-06
704.5,0.0001605566504
704,-0.0002620469895
703.5,0.0001029422856
703,0.0002224088093
702.5,3.65E-05
702,-0.0001795767894
701.5,-0.0001716401603
701,-0.0001292094821
700.5,0.0003512828844
700,-2.26E-05
699.5,0.0001381557813
699,5.98E-05
698.5,-0.0001393143029
698,0.0001291402732
697.5,-0.0002654887794
697,-8.07E-05
696.5,-5.10E-05
696,-4.54E-05
